species,trait
Tangara_ruficervix,2.944438979
Tangara_rufigenis,2.803360381
Tangara_rufigula,2.949688335
Tangara_schrankii,2.944438979
Tangara_seledon,2.928523524
Tangara_varia,2.302585093
Tangara_vassorii,2.890371758
Tangara_velia,3.044522438
Tangara_viridicollis,3.044522438
Tangara_vitriolina,3.135494216
Tangara_xanthocephala,2.944438979
Tangara_xanthogastra,2.708050201
Tersina_viridis,3.36729583
Thlypopsis_fulviceps,2.48490665
Thlypopsis_inornata,2.708050201
Thlypopsis_ornata,2.48490665
Thlypopsis_pectoralis,2.708050201
Thlypopsis_ruficeps,2.397895273
Thlypopsis_sordida,2.833213344
Thraupis_abbas,3.80666249
Thraupis_cyanocephala,3.583518938
Thraupis_cyanoptera,3.768152635
Thraupis_episcopus,3.555348061
Thraupis_ornata,3.496507561
Thraupis_palmarum,3.663561646
Thraupis_sayaca,3.48093235
Tiaris_bicolor,2.282382386
Tiaris_canorus,2.091864062
Tiaris_fuliginosus,2.587764035
Tiaris_obscurus,2.415913778
Tiaris_olivaceus,2.140066163
Trichothraupis_melanops,3.117064559
Urothraupis_stolzmanni,3.139832618
Volatinia_jacarina,2.296567021
Wetmorethraupis_sterrhopteron,3.916015027
Xenodacnis_parina,2.442347035
Xenospingus_concolor,3.044522438
